Name,Type,Genre,Platform,Watched
Upload,Series,Action,Amazon,No
Swamp Thing,Series,Horror,Apple TV,No
The Blacklist,Series,Action,Amazon,No
Everybody Hates Chris,Series,Comedy,Apple TV,No
You Should Have Left,Film,Horror,Apple TV,No
Killing Ground,Film,Horror,Amazon,No
Alone Together,Series,Romance,Freeform,No
Motherland Fort Salem,Series,Action,IPlayer,Partly
Andor,Series,Action,Disney+,Yes
I Am Not Ok With This,Series,Drama,Netflix,Yes
Shameless,Series,Comedy,Netflix,Partly
Fate: The Winx Saga,Series,Drama,Netflix,Partly
The Wolf of Wall Street,Film,Comedy,Netflix,No
To All the Boys I Loved Before,Film,Romance,Netflix,No
Through My Window,Film,Romance,Netflix,No
365 Days,Film,Romance,Netflix,No
Eli,Film,Horror,Netflix,No
Brightburn,Film,Horror,Netflix,No
The Dictator,Film,Comedy,Netflix,No
LOL,Film,Romance,Netflix,No
Clueless,Film,Romance,Netflix,No
#RealityHigh,Film,Comedy,Netflix,No
The Girl Next Door,Film,Romance,Netflix,Yes
Hanna,Series,Action,Apple TV,No
Titals,Series,Action,Netflix,Partly
Young Sheldon,Series,Comedy,Netflix,No
Big Mouth,Series,Comedy,Netflix,Partly
The Imperfects,Series,Horror,Netflix,No
The Umbrella Academy,Series,Drama,Netflix,Partly
Who Is The Mole,Series,Drama,Netflix,No
The Vampire Diaries,Series,Romance,Netflix,No
Better Call Saul,Series,Drama,Netflix,No
Breaking Bad,Series,Drama,Netflix,Partly
Nerve,Film,Thriller,Netflix,No
3%,Series,Drama,Netflix,Partly
Vikings,Series,Action,Amazon,Partly
The Midnight Club,Series,Horror,Netflix,No
Am I Being Unreasonale,Series,Comedy,IPlayer,No
Another Life,Series,Drama,Netflix,Partly
The Rain,Series,Drama,Netflix,Partly
How to be Single,Film,Romance,Netflix,No
Shadow Hunters,Series,Drama,Netflix,Partly
Peacemakers,Series,Drama,HBO,No
Black Mirror,Series,Drama,Netflix,Partly
The School for Good and Evil,Film,Drama,Netlix,No
Barbarians,Series,Action,Netflix,No
Locke and Key,Series,Drama,Netflix,Partly
12 String,Film,Action,Unknown,No
Zero Dark Thirty,Film,Action,Netflix,No
Little Britain,Series,Comedy,Unknown,No
Glee,Series,Drama,Disney+,No
The Wonder,Series,Drama,Netflix,No
The Peripheral,Series,Drama,Amazon,No
Clarksons Farm,Series,Comedy,Amazon,No
All Quiet on the Western Front,Film,Action,Netflix,Yes
Salvation,Series,Drama,Netflix,No
The Last of Us,Series,Drama,HBO,Yes
One of Us is Lying,Series,Drama,Netflix,No
The Bastard Son and the Devil Himself,Series,Drama,Netflix,No
Phone Booth,Film,Drama,Disney+,Yes
Just Beyond,Series,Comedy,Disney+,No
Skins,Series,Romance,Netflix,No
Oats Studios,Series,Drama,Netflix,No
The Forgetten Battle,Film,Action,Netflix,No
The Photographer of Mauthausen,Film,Drama,Netflix,No
13 Reasons Why,Series,Drama,Netflix,Partly
Gotham,Series,Drama,Netflix,Partly
LightYear,Film,Adventure,Disney+,No
Pretty Little Liars,Series,Drama,Unknown,No
The Man in the High Castle,Series,Drama,Amazon,No
Tag,Film,Comedy,Unknown,No
Chernobyl,Series,Drama,HBO,No
Lovas Actually,Film,Romance,Unknown,No
Warrior Nun,Series,Drama,Netflix,Partly
Ozark,Series,Drama,Netflix,No
Bullet Train,Film,Comedy,Unknown,No
Swimmers,Film,Drama,Netflix,Yes
Bohemian Rhapsody,Film,Music,Netflix,No
Hotel De La Plage,Series,Romance,Unknown,No
Teeth,Film,Horror,Unknown,Yes
iZombie,Series,Drama,Netflix,No
The Order,Series,Drama,Netflix,Partly
IT,Film,Horror,Unknown,No
IT Chapter 2,Film,Horror,Unknown,No
Wreck,Series,Horror,IPlayer,Yes
The Package,Film,Comedy,Netflix,No
Tulaa King,Series,Drama,Paramount+,No
Shadow in the Cloud,Film,Drama,Amazon,No
Devotion,Film,Action,Unknown,No
Willow,Series,Adventure,Disney+,Partly
New Girl,Series,Romance,Disney+,No
Tall Girl,Film,Romance,Netflix,No
Warriors of Future,Film,Action,Netflix,Yes
M3gan,Film,Horror,Unknown,No
SWAT,Series,Drama,Netflix,No
Brooklyn 99,Series,Comedy,Netflix,No
2 Broke Girls,Series,Comedy,Unknown,No
Mr.D,Series,Comedy,Unknown,No
Troll,Film,Action,Netflix,Yes
Sweet Home,Series,Horror,Netflix,No
Firestarter,Film,Horror,Unknown,No
Elite,Series,Drama,Netflix,No
Troll Hunter,Series,Action,Netflix,No
Cruel Inspection,Film,Drama,Unknown,Yes
Children of Men,Film,Drama,Unknown,No
Girl Meets World,Series,Comedy,Unknown,No
Teenage Bounty Hunters,Series,Drama,Netflix,No
Mean Girls,Film,Drama,Unknown,No
The Shannara Chronicles,Series,Adventure,Netflix,Partly
Boo Bitch,Series,Comedy,Netflix,No
Set It Up,Film,Romance,Netflix,No
Extraordinary,Series,Comedy,Disney+,No
Moxie,Film,Drama,Netflix,No
Rome,Series,Drama,Unknown,No
Ghost in the Shell,Film,Action,Unknown,No
No Hard Feelings,Film,Comedy,Unknown,No
Jerry and Marge go Large,Film,Comedy,Unknown,No
The Menu,Film,Horror,Disney+,Partly
Cocaine Bear,Film,Action,Unknown,No
The Bear,Series,Comedy,Disney+,No
My Sisters Keeper,Film,Drama,Unknown,No
The Ron Clarke Story,Film,Drama,Unknown,No
Cruella,Film,Drama,Disney+,Yes
Rango,Film,Action,Unknown,No
The Founder,Film,Drama,Unknown,No
The Power,Film,Drama,Amazon,No
The Bad Seed 2018,Film,Horror,Unknown,No
The Night Agent,Series,Action,Netflix,Partly
Darkest Hour,Film,Drama,IPlayer,No
Jersy Girl,Film,Romance,Unknown,No
Chaos Walking,Film,Drama,Netflix,No
Swimming with Sharks,Series,Drama,Unknown,No
Wildflower,Film,Drama,Unknown,No
Beautiful Disaster,Film,Romance,Amazon,Partly
The Blackout,Film,Action,Unknown,Yes
American Pie Presents: Girl's Rules,Film,Drama,Unknown,No
Utopia,Series,Drama,Amazon,No
Missing,Film,Thriller,Unknown,No
School Spirits,Series,Drama,Paramount+,Partly
Community,Series,Comedy,Unknown,No
Light as a Feather,Series,Thriller,Unknown,No
Blade Runner 2049,Film,Action,Unknown,No
The Intern,Film,Comedy,Unknown,No
The Hurt Locker,Film,Action,Unknown,No
Rabbit Hole,Series,Thriller,Paramount+,No
Ghosted,Film,Romance,Apple TV,No
Freaks and Geeks,Series,Drama,Unknown,Partly
Orange is the New Black,Series,Drama,Netflix,Partly
The Railway Children Return,Film,Adventure,Unknown,No
Mosul,Film,Action,Netflix,No
Class Dismissed,Series,Comedy,IPlayer,No
Feria: The Darkest Light,Series,Thriller,Netflix,No
Ted Lasso,Series,Comedy,Unknown,No
Deception,Series,Drama,Apple TV,No
The Rookie,Series,Drama,Unknown,No
My Man Madrid,Film,Action,Unknown,Yes
The Idol,Series,Drama,Unknown,No
Cruel Intentions 2,Film,Drama,Unknown,No
Midway,Film,Action,Unknown,No
Maid,Series,Drama,Netflix,No
Manifest,Series,Drama,Netflix,No
No Escape,Series,Thriller,Paramount+,No
Skins,Series,Drama,Netflix,No
Narcos,Series,Drama,Netflix,No
Charlies Angels,Film,Action,Unknown,No
Everything Everywhere All at Once,Film,Action,Amazon,No
Don't Look Up,Film,Comedy,Netflix,No
13 Minutes,Film,Action,Amazon,No
Prehistoric Planet,Series,Documentary,Apple TV,No
Turn of the Tide,Series,Drama,Netflix,No
I Think You should Leave,Series,Comedy,Netflix,Partly
The White Lotus,Series,Drama,HBO,No
The Voyeurs,Film,Thriller,Unknown,No
Everything Sucks,Series,Drama,Netflix,No
WildFlower,Film,Drama,Unknown,No
The Covenant,Series,Action,Amazon,No
Gotham Knights,Series,Superhero,Unknown,No
The Crowded Room,Series,Drama,Apple TV,No
The Summer I Turned Pretty,Series,Romance,Apple TV,No
It Follows,Film,Horror,Unknown,No
The Man in the High Castle,Series,Drama,Amazon,No
Foundation,Series,Drama,Apple TV,Partly
Mr D,Series,Drama,Unknown,No
Django Unchained,Film,Drama,Unknown,No
Altered Carbon,Series,Drama,Netflix,Partly
The Great,Series,Drama,Hulu,No
Teen Spirit,Film,Drama,Unknown,No
Lucifer,Series,Drama,Netflix,No
The Ballad of Buster Scruggs,Film,Comedy,Unknown,No
Danger Close: The Battle of Long Tan,Film,Action,Unknown,No
Outlaw King,Film,Action,Netflix,No
Marcella,Film,Drama,Netflix,No
The Little Drummer Girl,Series,Thriller,Amazon,No
This Is Us,Series,Romance,Disney+,No
Valkyrie,Film,Thriller,Amazon,No
Underwater,Film,Horror,Disney+,No
Status Update,Film,Comedy,Unknown,No
Mud,Film,Drama,Amazon,No
Holes,Film,Drama,Unknown,No
Jack Ryan,Series,Action,Amazon,No
Carnival Row,Series,Drama,Amazon,No
Silo,Series,Drama,Apple TV,No
The Clique,Film,Drama,Unknown,No
The Purge,Film,Thriller,Amazon,Yes
Milk Money,Film,Romance,Unknown,No
My Teacher My Obsession,Film,Romance,Amazon,No
Special Ops: Lioness,Series,Action,Paramount+,No
Daredevil,Series,Action,Disney+,No
Jury Duty,Series,Comedy,Amazon,No
